fund_code,fund_name,return,avg_return,sharpe,drawdown,2023_return,2022_return,2021_return,2020_return,2019_return,2018_return,2017_return,2016_return,2015_return,2023_sharpe,2022_sharpe,2021_sharpe,2020_sharpe,2019_sharpe,2018_sharpe,2017_sharpe,2016_sharpe,2015_sharpe,2023_drawdown,2022_drawdown,2021_drawdown,2020_drawdown,2019_drawdown,2018_drawdown,2017_drawdown,2016_drawdown,2015_drawdown
005628,汇安趋势动力股票A,-0.259,-0.056,-0.2710725282411541,0.5404926008514088,-0.07,0.607,-0.334,-0.309,-0.242,0.089,,,,-1.4275808994605634,1.7257059974864477,-0.7395844813542122,-0.7253327569625847,-1.0712146430791587,0.9971399076214877,,,,0.11328455910666153,-1,0.3985404419217515,0.28755484365206496,0.24610927152317882,0.06373582254341062,,,
006025,诺安优化配置混合,-0.454,-0.108,-0.4755217710660169,0.42781881692721757,-0.146,0.417,-0.086,-0.301,-0.331,-0.008,,,,-2.3301167556331377,1.0112490192206613,-0.6949872939802262,-1.2124668090192046,-1.4143246423636182,-7.611641030168431,,,,0.1423203381869422,-1,0.08801465956593939,0.2823658670573156,0.2412935323383085,0.008139765733571665,,,
017559,华安上证科创板芯片ETF发起式联接A,-0.081,-0.521,-2.1947087647182926,0.10949423247559889,-0.081,,,,,,,,,-2.1947087647182926,,,,,,,,,0.10949423247559889,,,,,,,,
005224,广发中证基建工程ETF联接C,0.105,0.022,-0.026272096847309096,0.305581443512478,-0.107,0.092,-0.166,0.062,-0.036,0.259,,,,-4.947878467665382,0.41911956319646543,-1.179704664074642,0.2662699245520879,-0.28385701637283506,1.6380485422629805,,,,0.12286575159022428,0.15341558144848066,0.2983328155741949,0.17959383410814783,0.21143717080511662,0.12571229212699148,,,
014855,嘉实中证半导体指数增强发起式C,-0.039,-0.05,-0.20303863577219372,0.20733721013712395,-0.049,0.01,,,,,,,,-1.187748962919393,0.03440359586591923,,,,,,,,0.09765361242403792,0.20733721013712395,,,,,,,
007491,南方信息创新混合C,-0.42,-0.123,-0.3619333617809815,0.5662378513529862,-0.059,0.812,-0.056,-0.655,-0.462,,,,,-1.0399049002404768,1.8129873750250407,-0.2783417521520665,-0.9188260714103588,-2.9941819726602477,,,,,0.0893872802481902,-1,0.24519230769230768,0.39746743557688424,0.2918093231498552,,,,
014194,汇添富中证芯片产业指数增强发起C,0.303,0.258,1.0685058589895728,-1,-0.033,0.279,0.056,,,,,,,-1.4765707006267113,1.277736495579402,2.6431984211201303,,,,,,,0.09517260349332957,-1,-1,,,,,,
012552,天弘中证芯片产业指数A,0.323,0.221,0.9781505224926075,0.23838892385147895,-0.043,0.31,0.056,,,,,,,-1.8868510369473346,1.5403301399352205,0.32094335046654593,,,,,,,0.1049591434206819,-1,0.14781667977970092,,,,,,
017560,华安上证科创板芯片ETF发起式联接C,-0.08,-0.519,-2.186507827380407,0.10934587734090705,-0.08,,,,,,,,,-2.186507827380407,,,,,,,,,0.10934587734090705,,,,,,,,
001574,中海混改红利混合,-0.407,-0.059,-0.2456404626199818,0.6739615899955337,-0.031,0.557,-0.127,-0.475,-0.56,0.254,-0.232,0.207,,-0.6308039762830113,1.126582380132583,-0.4440255956356073,-0.9116705553887199,-1.7908265845317597,0.954424547606355,-1.3594926958926234,0.8822409615496044,,0.09729729729729723,-1,0.30861991960696733,0.3365129835718071,0.42629179331306993,0.1521486643437863,0.3168498168498169,0.18737474949899793,
013445,东财芯片A,0.263,0.202,0.8086677783697557,0.2485764090644975,-0.045,0.328,-0.019,,,,,,,-1.8283136161790194,1.5045119866467795,-0.9578390954373369,,,,,,,0.10474205315268359,-1,0.08839171098477906,,,,,,
013841,银华集成电路混合C,0.005,0.005,-0.06656135127497517,0.3457494207806096,-0.064,0.069,,,,,,,,-1.610473657574041,0.2392832609090172,,,,,,,,0.11359653643954229,0.3457494207806096,,,,,,,
013082,信诚中证基建工程指数(LOF)C,-0.048,-0.033,-0.28574127834307883,0.16999512907939607,-0.096,0.094,-0.046,,,,,,,-4.884529378525611,0.47407392574395363,-0.8019154367027307,,,,,,,0.12116415002435464,0.15223880597014933,0.1452254641909815,,,,,,
014193,汇添富中证芯片产业指数增强发起A,0.3,0.256,1.0545215603799671,-1,-0.033,0.277,0.056,,,,,,,-1.488716081331664,1.2646920467441753,2.629067494781111,,,,,,,0.09538166369740989,-1,-1,,,,,,
013840,银华集成电路混合A,0.003,0.003,-0.07203977899176445,0.3460306158775364,-0.064,0.068,,,,,,,,-1.6165572247512328,0.2336823469121854,,,,,,,,0.11375089992800579,0.3460306158775364,,,,,,,
014854,嘉实中证半导体指数增强发起式A,-0.041,-0.052,-0.20959700277850113,0.20776239328502752,-0.049,0.008,,,,,,,,-1.1971184810391147,0.028025460964101846,,,,,,,,0.0978773584905661,0.20776239328502752,,,,,,,
012553,天弘中证芯片产业指数C,0.325,0.222,0.9875426596379352,0.23798713583049574,-0.042,0.311,0.056,,,,,,,-1.8755337018255434,1.5494445297257977,0.32803943326489854,,,,,,,0.1048466864490604,-1,0.14770714426294038,,,,,,
005629,汇安趋势动力股票C,-0.226,-0.048,-0.25403783739450947,0.5335023542194858,-0.067,0.6,-0.32,-0.299,-0.234,0.095,,,,-1.409363794968093,1.7511177715644899,-0.7276814505758441,-0.7106233568953714,-1.0502311052953803,1.0751444221767188,,,,0.11287770922322421,-1,0.3964919542608785,0.28589589660286735,0.24485030439496294,0.06325027741349741,,,
005844,东方人工智能主题混合A,0.054,0.012,-0.060440650158918585,0.4657588058138013,-0.103,0.544,0.026,-0.229,-0.358,0.174,,,,-2.2432286332118774,1.6029917168981143,0.1447777096161859,-0.6927632133320417,-1.4562280481153944,2.1816482690355934,,,,0.14780528396089038,0.2978471929084002,0.19971585143089096,0.2832263978001834,0.2948496370549603,0.07160900604063693,,,
165525,信诚中证基建工程指数(LOF)A,0.166,0.027,0.011349400437875816,0.2955882352941177,-0.097,0.091,-0.148,0.079,0.019,0.345,0.087,-0.213,0.003,-4.912175638501686,0.45331098538014525,-1.1297432428037455,0.40038767755625065,0.28688303448060765,2.924853436184677,0.45254195560662214,-0.9114368486244262,-5.2521951788632295,0.12038369304556347,0.15110294117647055,0.29557405784399643,0.16174582798459564,0.07458912768647288,0.08391608391608386,0.13676470588235307,0.27037319116527037,0.000999000999000889
